input;ff;tw;mh;expected_output
"Nancy.FreeHafer@fourthcoffee.com";"fourthcoffee";"fourthcoffee";"fourthcoffee";"fourthcoffee"
"Andrew.Cencici@northwindtraders.com";"northwindtraders";"northwindtraders";"northwindtraders";"northwindtraders"
"Jan.Kotas@litwareinc.com";"litwareinc";"litwareinc";"litwareinc";"litwareinc"
"Mariya.Sergienko@gradicdesigninstitute.com";"gradicdesigninstitute";"gradicdesigninstitute";"gradicdesigninstitute";"gradicdesigninstitute"
"Steven.Thorpe@northwindtraders.com";"northwindtraders";"northwindtraders";"northwindtraders";"northwindtraders"
"Michael.Neipper@northwindtraders.com";"northwindtraders";"northwindtraders";"northwindtraders";"northwindtraders"
"Robert.Zare@northwindtraders.com";"northwindtraders";"northwindtraders";"northwindtraders";"northwindtraders"
"Laura.Giussani@adventure-works.com";"adventure-works";"adventure";"adventure-works";"adventure-works"
"Anne.Hill@northwindtraders.com";"northwindtraders";"northwindtraders";"northwindtraders";"northwindtraders"
"Alexander.David@contoso.com";"contoso";"contoso";"contoso";"contoso"
"Kim.Shane@northwindtraders.com";"northwindtraders";"northwindtraders";"northwindtraders";"northwindtraders"
"Manish.Chopra@northwindtraders.com";"northwindtraders";"northwindtraders";"northwindtraders";"northwindtraders"
"Gerwald.Oberleitner@northwindtraders.com";"northwindtraders";"northwindtraders";"northwindtraders";"northwindtraders"
"Amr.Zaki@northwindtraders.com";"northwindtraders";"northwindtraders";"northwindtraders";"northwindtraders"
"Yvonne.McKay@northwindtraders.com";"northwindtraders";"northwindtraders";"northwindtraders";"northwindtraders"
"Amanda.Pinto@northwindtraders.com";"northwindtraders";"northwindtraders";"northwindtraders";"northwindtraders"
